xRot,yRot,row,col,block_type,dist
61.77,285.67,1,1,minecraft:air,16
61.77,285.67,1,2,minecraft:air,18
61.77,285.67,1,3,minecraft:air,4
61.77,285.67,1,4,minecraft:air,12
61.77,285.67,1,5,minecraft:air,20
61.77,285.67,1,6,minecraft:air,9
61.77,285.67,1,7,minecraft:air,16
61.77,285.67,1,8,minecraft:water,2
61.77,285.67,1,9,minecraft:air,14
61.77,285.67,1,10,minecraft:air,9
61.77,285.67,1,11,minecraft:stone,11
61.77,285.67,1,12,minecraft:air,4
61.77,285.67,1,13,minecraft:stone,3
61.77,285.67,1,14,minecraft:grass_block,9
61.77,285.67,1,15,minecraft:air,11
61.77,285.67,1,16,minecraft:stone,6
61.77,285.67,2,1,minecraft:water,14
61.77,285.67,2,2,minecraft:air,20
61.77,285.67,2,3,minecraft:grass_block,2
61.77,285.67,2,4,minecraft:air,13
61.77,285.67,2,5,minecraft:air,13
61.77,285.67,2,6,minecraft:stone,7
61.77,285.67,2,7,minecraft:air,1
61.77,285.67,2,8,minecraft:air,14
61.77,285.67,2,9,minecraft:air,8
61.77,285.67,2,10,minecraft:oak_leaves,5
61.77,285.67,2,11,minecraft:air,19
61.77,285.67,2,12,minecraft:air,16
61.77,285.67,2,13,minecraft:air,12
61.77,285.67,2,14,minecraft:air,4
61.77,285.67,2,15,minecraft:air,12
61.77,285.67,2,16,minecraft:air,9
61.77,285.67,3,1,minecraft:air,13
61.77,285.67,3,2,minecraft:air,12
61.77,285.67,3,3,minecraft:water,15
61.77,285.67,3,4,minecraft:grass_block,13
61.77,285.67,3,5,minecraft:air,20
61.77,285.67,3,6,minecraft:air,10
61.77,285.67,3,7,minecraft:air,15
61.77,285.67,3,8,minecraft:stone,9
61.77,285.67,3,9,minecraft:air,13
61.77,285.67,3,10,minecraft:air,19
61.77,285.67,3,11,minecraft:air,13
61.77,285.67,3,12,minecraft:air,2
61.77,285.67,3,13,minecraft:air,18
61.77,285.67,3,14,minecraft:air,3
61.77,285.67,3,15,minecraft:stone,5
61.77,285.67,3,16,minecraft:air,14
61.77,285.67,4,1,minecraft:air,19
61.77,285.67,4,2,minecraft:air,13
61.77,285.67,4,3,minecraft:air,20
61.77,285.67,4,4,minecraft:oak_log,2
61.77,285.67,4,5,minecraft:air,1
61.77,285.67,4,6,minecraft:air,20
61.77,285.67,4,7,minecraft:air,17
61.77,285.67,4,8,minecraft:air,20
61.77,285.67,4,9,minecraft:air,10
61.77,285.67,4,10,minecraft:air,1
61.77,285.67,4,11,minecraft:air,1
61.77,285.67,4,12,minecraft:air,19
61.77,285.67,4,13,minecraft:grass_block,4
61.77,285.67,4,14,minecraft:air,3
61.77,285.67,4,15,minecraft:oak_log,8
61.77,285.67,4,16,minecraft:air,11
61.77,285.67,5,1,minecraft:air,18
61.77,285.67,5,2,minecraft:air,7
61.77,285.67,5,3,minecraft:air,4
61.77,285.67,5,4,minecraft:air,2
61.77,285.67,5,5,minecraft:oak_log,8
61.77,285.67,5,6,minecraft:air,2
61.77,285.67,5,7,minecraft:stone,6
61.77,285.67,5,8,minecraft:water,7
61.77,285.67,5,9,minecraft:air,1
61.77,285.67,5,10,minecraft:air,19
61.77,285.67,5,11,minecraft:air,5
61.77,285.67,5,12,minecraft:oak_log,2
61.77,285.67,5,13,minecraft:air,2
61.77,285.67,5,14,minecraft:air,17
61.77,285.67,5,15,minecraft:air,19
61.77,285.67,5,16,minecraft:air,17
61.77,285.67,6,1,minecraft:oak_log,7
61.77,285.67,6,2,minecraft:stone,12
61.77,285.67,6,3,minecraft:air,13
61.77,285.67,6,4,minecraft:stone,14
61.77,285.67,6,5,minecraft:oak_log,18
61.77,285.67,6,6,minecraft:air,17
61.77,285.67,6,7,minecraft:water,7
61.77,285.67,6,8,minecraft:air,20
61.77,285.67,6,9,minecraft:air,19
61.77,285.67,6,10,minecraft:air,1
61.77,285.67,6,11,minecraft:water,13
61.77,285.67,6,12,minecraft:air,9
61.77,285.67,6,13,minecraft:air,4
61.77,285.67,6,14,minecraft:oak_log,7
61.77,285.67,6,15,minecraft:air,12
61.77,285.67,6,16,minecraft:air,1
61.77,285.67,7,1,minecraft:air,4
61.77,285.67,7,2,minecraft:air,3
61.77,285.67,7,3,minecraft:air,17
61.77,285.67,7,4,minecraft:air,2
61.77,285.67,7,5,minecraft:stone,1
61.77,285.67,7,6,minecraft:water,7
61.77,285.67,7,7,minecraft:air,18
61.77,285.67,7,8,minecraft:air,6
61.77,285.67,7,9,minecraft:stone,7
61.77,285.67,7,10,minecraft:air,7
61.77,285.67,7,11,minecraft:air,13
61.77,285.67,7,12,minecraft:air,7
61.77,285.67,7,13,minecraft:air,17
61.77,285.67,7,14,minecraft:air,18
61.77,285.67,7,15,minecraft:air,13
61.77,285.67,7,16,minecraft:air,20
61.77,285.67,8,1,minecraft:air,8
61.77,285.67,8,2,minecraft:stone,3
61.77,285.67,8,3,minecraft:stone,17
61.77,285.67,8,4,minecraft:air,2
61.77,285.67,8,5,minecraft:air,13
61.77,285.67,8,6,minecraft:air,9
61.77,285.67,8,7,minecraft:stone,11
61.77,285.67,8,8,minecraft:stone,7
61.77,285.67,8,9,minecraft:air,16
61.77,285.67,8,10,minecraft:air,12
61.77,285.67,8,11,minecraft:air,16
61.77,285.67,8,12,minecraft:air,12
61.77,285.67,8,13,minecraft:air,6
61.77,285.67,8,14,minecraft:oak_planks,19
61.77,285.67,8,15,minecraft:oak_log,2
61.77,285.67,8,16,minecraft:air,8
61.77,285.67,9,1,minecraft:oak_log,15
61.77,285.67,9,2,minecraft:air,3
61.77,285.67,9,3,minecraft:grass_block,18
61.77,285.67,9,4,minecraft:air,14
61.77,285.67,9,5,minecraft:grass_block,14
61.77,285.67,9,6,minecraft:stone,4
61.77,285.67,9,7,minecraft:air,12
61.77,285.67,9,8,minecraft:air,14
61.77,285.67,9,9,minecraft:air,4
61.77,285.67,9,10,minecraft:air,1
61.77,285.67,9,11,minecraft:air,4
61.77,285.67,9,12,minecraft:air,17
61.77,285.67,9,13,minecraft:air,16
61.77,285.67,9,14,minecraft:stone,8
61.77,285.67,9,15,minecraft:air,5
61.77,285.67,9,16,minecraft:air,1
